Electrical Fixture Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Circuit Number,Classification Number,Classification Title,Comments,Cost,Count,Description,Electrical Data,Elevation from Level,Enlarged Views Only,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Model,Panel,Phase Created,Phase Demolished,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,5,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Counter Top,,0xAf3vh1zBTg991o7CXZwR,,,L5,,20,,P507,New Construction,None,Counter Top,,,2CTEMFkBXCdewbyEowT_As,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,0xAf3vh1zBTg991o7CXZv$,,,L5,,21,,P507,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,0xAf3vh1zBTg991o7CXZtE,,,L5,,22,,P507,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXZrk,,,L5,,24,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiAF,,,L5,,25,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiB8,,,L5,,26,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiEq,,,L5,,27,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiFe,,,L5,,28,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiFA,,,L5,,29,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiCB,,,L5,,30,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0xAf3vh1zBTg991o7CXiDN,,,L5,,31,,P507,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmTs,,,L5,,32,,P500,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmTS,,,L5,,33,,P500,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSm0i,,,L5,,34,,P500,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSm3B,,,L5,,35,,P500,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,9,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSm8s,,,L5,,39,,P406,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,9,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSm8S,,,L5,,40,,P406,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,9,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmAL,,,L5,,41,,P406,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,9,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmqC,,,L5,,43,,P406,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,6,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,2Up1U7k117ie2$BGfzSmtk,,,L4,,44,,P408,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,2Up1U7k117ie2$BGfzSmte,,,L4,,45,,P408,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmtf,,,L4,,46,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmth,,,L4,,47,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmtq,,,L4,,48,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmtm,,,L4,,49,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmto,,,L4,,50,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmtp,,,L4,,51,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,8,10,23.80.50.11.17,,,,1,,220 V/2-180 VA,1' - 6",,,,,By Type,,Default,,High Voltage Receptacle,High Voltage Receptacle: Standard,,2Up1U7k117ie2$BGfzSmt_,,,L4,,52,,P408,New Construction,None,Standard,,,3LPhih2fj8yueK3tIyLhvw,,,
