Electrical Fixture Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Circuit Number,Classification Number,Classification Title,Comments,Cost,Count,Description,Electrical Data,Elevation from Level,Enlarged Views Only,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Model,Panel,Phase Created,Phase Demolished,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmvU,,,L2,,89,,P205,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,6,8,23.80.50.11.17,,,,1,,220 V/2-180 VA,1' - 6",,,,,By Type,,Default,,High Voltage Receptacle,High Voltage Receptacle: Standard,,2Up1U7k117ie2$BGfzSmvP,,,L2,,90,,P205,New Construction,None,Standard,,,3LPhih2fj8yueK3tIyLhvw,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmvR,,,L2,,91,,P200,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmub,,,L2,,92,,P205,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmud,,,L2,,93,,P205,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,-1' - 11 1/2",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmuW,,,L2,,94,,P205,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,-1' - 11 1/2",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmuY,,,L2,,95,,P205,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmuZ,,,L2,,96,,P205,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmul,,,L2,,97,,P205,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Counter Top,,2Up1U7k117ie2$BGfzSmug,,,L2,,98,,P205,New Construction,None,Counter Top,,,2CTEMFkBXCdewbyEowT_As,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmuq,,,L2,,99,,P200,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmur,,,L2,,100,,P200,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,9' - 7",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,0m9vfM1Zr9d88fE3OWL7Wy,,,L2,,101,,P205,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,13,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uElzC8,,,L2,,102,,P102,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,13,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uElzDc,,,L2,,103,,P102,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,13,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uElzG0,,,L2,,104,,P102,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,13,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uElzLb,,,L2,,105,,P102,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,13,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uElzOj,,,L2,,106,,P102,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,13,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uElzTu,,,L2,,107,,P102,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,13,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_Wv,,,L2,,108,,P102,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,13,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_cn,,,L2,,109,,P102,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_dr,,,L2,,110,,P203,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_dM,,,L2,,111,,P203,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_e8,,,L2,,112,,P203,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_fv,,,L2,,113,,P203,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_iz,,,L2,,114,,P203,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,7,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3P1nks4s5DXwXxZ1uEl_oC,,,L2,,115,,P203,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,2,4,23.80.50.11.17,,,,1,,220 V/2-180 VA,1' - 6",,,,,By Type,,Default,,High Voltage Receptacle,High Voltage Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_mk,,,L2,,116,,P203,New Construction,None,Standard,,,3LPhih2fj8yueK3tIyLhvw,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_sq,,,L2,,118,,P203,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl__K,,,L2,,119,,P204,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_$X,,,L2,,120,,P204,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_$1,,,L2,,121,,P204,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_2J,,,L2,,122,,P204,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3P1nks4s5DXwXxZ1uEl_Ag,,,L2,,123,,P204,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3P1nks4s5DXwXxZ1uEl_BW,,,L2,,124,,P204,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Counter Top,,3P1nks4s5DXwXxZ1uEl_93,,,L2,,125,,P204,New Construction,None,Counter Top,,,2CTEMFkBXCdewbyEowT_As,,,
,,,5,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3P1nks4s5DXwXxZ1uEl_Hh,,,L2,,126,,P204,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,6,8,23.80.50.11.17,,,,1,,220 V/2-180 VA,1' - 6",,,,,By Type,,Default,,High Voltage Receptacle,High Voltage Receptacle: Standard,,3P1nks4s5DXwXxZ1uEl_Ko,,,L2,,127,,P204,New Construction,None,Standard,,,3LPhih2fj8yueK3tIyLhvw,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3P1nks4s5DXwXxZ1uEl_QQ,,,L2,,128,,P203,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,6,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3P1nks4s5DXwXxZ1uEl_RP,,,L2,,129,,P203,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,5,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Counter Top,,3P1nks4s5DXwXxZ1uEl_UQ,,,L2,,130,,P203,New Construction,None,Counter Top,,,2CTEMFkBXCdewbyEowT_As,,,
,,,7,9,23.80.50.11.17,,,,1,,220 V/2-180 VA,1' - 6",,,,,By Type,,Default,,High Voltage Receptacle,High Voltage Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bE_g,,,L2,,131,,P202,New Construction,None,Standard,,,3LPhih2fj8yueK3tIyLhvw,,,
,,,5,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Counter Top,,1GdK8hVbL8z8XKrKL5bEz7,,,L2,,132,,P202,New Construction,None,Counter Top,,,2CTEMFkBXCdewbyEowT_As,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,1GdK8hVbL8z8XKrKL5bExL,,,L2,,133,,P202,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,6,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,1GdK8hVbL8z8XKrKL5bEbb,,,L2,,134,,P202,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,1GdK8hVbL8z8XKrKL5bEXm,,,L2,,135,,P202,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,1GdK8hVbL8z8XKrKL5bEeP,,,L2,,136,,P202,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bEKN,,,L2,,137,,P202,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bEJO,,,L2,,138,,P202,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bEUP,,,L2,,139,,P202,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bEVv,,,L2,,140,,P202,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bEQl,,,L2,,141,,P202,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bEPW,,,L2,,142,,P202,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bE7y,,,L2,,143,,P202,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bE1p,,,L2,,144,,P202,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,1GdK8hVbL8z8XKrKL5bEAN,,,L2,,145,,P202,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3_n8arSBT0TOiUt9yjHtM5,,,L2,,146,,P200,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3_n8arSBT0TOiUt9yjHtM_,,,L2,,147,,P200,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Counter Top,,3FgGwigcLBy9VLwQswf7OD,,,L4,,149,,P410,New Construction,None,Counter Top,,,2CTEMFkBXCdewbyEowT_As,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3FgGwigcLBy9VLwQswf7PA,,,L4,,150,,P410,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3FgGwigcLBy9VLwQswf7RF,,,L4,,151,,P410,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3FgGwigcLBy9VLwQswf7WH,,,L4,,152,,P410,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3FgGwigcLBy9VLwQswf7Wu,,,L4,,153,,P410,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3FgGwigcLBy9VLwQswf7Y7,,,L4,,154,,P410,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3FgGwigcLBy9VLwQswf7Z6,,,L4,,155,,P410,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3FgGwigcLBy9VLwQswf7ZG,,,L3,,156,,P309,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,3FgGwigcLBy9VLwQswf7bT,,,L4,,157,,P410,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,5,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,3FgGwigcLBy9VLwQswf7f2,,,L4,,159,,P410,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,3' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,2lMJC2lKP428HGIz2UwuZS,,,L1 - Block 43,,160,,P109,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,3' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,2lMJC2lKP428HGIz2UwuZh,,,L1 - Block 43,,161,,P109,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2lMJC2lKP428HGIz2UwuX8,,,L1 - Block 43,,162,,P109,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2lMJC2lKP428HGIz2UwuXg,,,L1 - Block 43,,163,,P109,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2Uwukk,,,L1 - Block 43,,164,,P109,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2lMJC2lKP428HGIz2Uwulx,,,L1 - Block 43,,165,,P109,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2UwujN,,,L1 - Block 43,,166,,P109,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2Uwued,,,L1 - Block 43,,167,,P109,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2UwutN,,,L1 - Block 43,,168,,P109,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2UwutU,,,L1 - Block 43,,169,,P109,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2UwuqO,,,L1 - Block 43,,170,,P109,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2Uwur4,,,L1 - Block 43,,171,,P109,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2Uwuo3,,,L1 - Block 43,,172,,P109,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,0' - 0 1/2",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,2lMJC2lKP428HGIz2UwuOk,,,L1 - Block 37,,173,,P108,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,0' - 0 1/2",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,2lMJC2lKP428HGIz2UwxcT,,,L1 - Block 37,,174,,P108,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2UwxY0,,,L1 - Block 37,,175,,P108,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,2lMJC2lKP428HGIz2UwxYl,,,L1 - Block 37,,176,,P108,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,01rOGBYFL9IBD8p4B5gTsV,,,L1 - Block 37,,177,,P108,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 0",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,01rOGBYFL9IBD8p4B5gTsr,,,L1 - Block 37,,178,,P108,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,01rOGBYFL9IBD8p4B5gTnC,,,L1 - Block 37,,179,,P108,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,01rOGBYFL9IBD8p4B5gTnv,,,L1 - Block 37,,180,,P108,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,01rOGBYFL9IBD8p4B5gToj,,,L1 - Block 37,,181,,P108,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-360 VA,1' - 6",,,,,By Type,,Default,,Quadruplex Receptacle,Quadruplex Receptacle: Plain,,01rOGBYFL9IBD8p4B5gTiH,,,L1 - Block 37,,182,,P108,New Construction,None,Plain,,,3LPhih2fj8yueK3tIyLgYM,,,
