Air Terminal Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Cost,Count,Critical Path,Description,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Flow,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Max Flow,Min Flow,Model,Phase Created,Phase Demolished,Size,System Abbreviation,System Classification,System Name,System Type,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,,,,,1,No,,10' - 6",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,0CW5ZygHT5FfccaQkMoDwe,,,L3,,23,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 3,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,-1' - 9 7/16",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,0CW5ZygHT5FfccaQkMoDd6,,,L3,,26,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 3,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,-1' - 9 7/16",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,0CW5ZygHT5FfccaQkMoDac,,,L3,,27,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 3,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,23.75.70.21.27.11,,,,1,Yes,,8' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",80 CFM,,0CW5ZygHT5FfccaQkMoDgF,,,L2,,28,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 3,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,Yes,,9' - 8 5/32",,,,By Type,,Default,,Return Grille - Double Deflection - Curve Face Rectangular Neck,Return Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,0CW5ZygHT5FfccaQkMoD7P,,,L2,,29,,,,New Construction,None,16"x4",,Return Air,Mechanical Return Air 5,Return Air,16x4 Connection 8 Diameter Duct,,,0C4AccZxn9LBim4QVrDA5N,,,
,,,23.75.70.21.27.11,,,,1,Yes,,8' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",90 CFM,,0CW5ZygHT5FfccaQkMoD4d,,,L2,,30,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 6,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,No,,9' - 8 5/32",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,0CW5ZygHT5FfccaQkMoDDq,,,L2,,32,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 6,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,9' - 8 5/32",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,0CW5ZygHT5FfccaQkMoEot,,,L2,,33,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 6,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,8' - 0",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,0CW5ZygHT5FfccaQkMoEdE,,,L2,,36,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 2,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,,,,,1,No,,8' - 0",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,20hMZHm2HFUApm3Yl$vPeZ,,,L2,,38,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 34,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,23.75.70.21.27.11,,,,1,Yes,,9' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,20hMZHm2HFUApm3Yl$vPTr,,,L1 - Block 43,,39,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 8,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,23.75.70.21.27.11,,,,1,No,,9' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,20hMZHm2HFUApm3Yl$vPUi,,,L1 - Block 43,,40,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 8,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,No,,8' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,90 CFM,,20hMZHm2HFUApm3Yl$vP93,,,L2,,41,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 8,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,8' - 0",,,,By Type,,Default,,Return Grille - Double Deflection - Curve Face Rectangular Neck,Return Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,20hMZHm2HFUApm3Yl$vOtc,,,L2,,47,,,,New Construction,None,16"x4",,Return Air,Mechanical Return Air 6,Return Air,16x4 Connection 8 Diameter Duct,,,0C4AccZxn9LBim4QVrDA5N,,,
