Lighting Fixture Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparent Power,Assembly Code,Assembly Description,Assembly Name,Ballast Loss,Circuit Number,Classification Number,Classification Title,Coefficient of Utilization,Comments,Cost,Count,Description,Efficacy,Electrical Data,Elevation from Level,Enlarged Views Only,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Illuminance,Image,Initial Color Temperature,Keynote,Lamp,Lamp Lumen Depreciation,Lamp Tilt Loss,Length,Level,Luminaire Dirt Depreciation,Luminous Flux,Luminous Intensity,Manufacturer,Mark,Model,Panel,Phase Created,Phase Demolished,Surface Depreciation Loss,Switch ID,Temperature Loss,Total Light Loss Factor,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Voltage Loss,Wattage,Wattage Comments,Width
8 VA,D5020210,Lighting - Fluorescent,,0.88,11,23.80.70.11.14.11,,0.553091,,,1,,50 lm/W,120 V/1-8 VA,1' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 24" 120V,,1wejEoruvD5hQq7iipxxeU,0 fc,,4230 K,,T-8,1,1,,L4,1,400 lm,32 cd,,36,,P403,New Construction,None,1,,1,0.88,24" 120V,,,1wejEoruvD5hQq7iipxxmA,,F5,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,14,23.80.70.11.14.11,,0.554513,,,1,,50 lm/W,120 V/1-8 VA,0' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 18" 120V,,1wejEoruvD5hQq7iipxxeT,0 fc,,4230 K,,T-8,1,1,,L3,1,400 lm,32 cd,,37,,P306,New Construction,None,1,,1,0.88,18" 120V,,,1wejEoruvD5hQq7iipxxm8,,F4,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,14,23.80.70.11.14.11,,0.554513,,,1,,50 lm/W,120 V/1-8 VA,1' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 24" 120V,,1wejEoruvD5hQq7iipxxeS,0 fc,,4230 K,,T-8,1,1,,L3,1,400 lm,32 cd,,38,,P306,New Construction,None,1,,1,0.88,24" 120V,,,1wejEoruvD5hQq7iipxxmA,,F5,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,15,23.80.70.11.14.11,,0.554642,,,1,,50 lm/W,120 V/1-8 VA,0' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 18" 120V,,1wejEoruvD5hQq7iipxxeR,0 fc,,4230 K,,T-8,1,1,,L4,1,400 lm,32 cd,,39,,P407,New Construction,None,1,,1,0.88,18" 120V,,,1wejEoruvD5hQq7iipxxm8,,F4,,1,8 W,8,
8 VA,D5020210,Lighting - Fluorescent,,0.88,15,23.80.70.11.14.11,,0.554642,,,1,,50 lm/W,120 V/1-8 VA,1' - 0",,,,,By Type,,Default,,Downlight - Under Cabinet,Downlight - Under Cabinet: 24" 120V,,1wejEoruvD5hQq7iipxxeQ,0 fc,,4230 K,,T-8,1,1,,L4,1,400 lm,32 cd,,40,,P407,New Construction,None,1,,1,0.88,24" 120V,,,1wejEoruvD5hQq7iipxxmA,,F5,,1,8 W,8,
,,,,,19,,,,,,1,,149 lm/W,120 V/1-180 VA,10' - 3",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCc,1 fc,,3200 K,,,,,1' - 6",L2,,1380 lm,110 cd,,51,,P102,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,8,,,,,,1,,149 lm/W,120 V/1-180 VA,10' - 3",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCa,1 fc,,3200 K,,,,,1' - 6",L2,,1380 lm,110 cd,,52,,P202,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,18,,,,,,1,,149 lm/W,120 V/1-180 VA,10' - 3",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCY,1 fc,,3200 K,,,,,1' - 6",L2,,1380 lm,110 cd,,53,,P102,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,18,,,,,,1,,149 lm/W,120 V/1-180 VA,10' - 3",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCW,1 fc,,3200 K,,,,,1' - 6",L2,,1380 lm,110 cd,,54,,P102,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,19,,,,,,1,,149 lm/W,120 V/1-180 VA,10' - 3",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCk,1 fc,,3200 K,,,,,1' - 6",L2,,1380 lm,110 cd,,55,,P102,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
