Structural Foundation Schedule 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Cost,Count,Description,Elevation at Bottom,Elevation at Bottom Core,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Core,Elevation at Top Survey,Estimated Reinforcement Volume,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Foundation Thickness,Heel Length,Height Offset From Level,IFC Predefined Type,IfcGUID,Image,Keynote,Length,Level,Manufacturer,Mark,Model,Perimeter,Phase Created,Phase Demolished,Rebar Cover,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Structural Material,Structural Usage,Toe Length,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Volume,Width
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 SF,A1010100,Footings & Pile Caps,,,,,,1,,-44'-0",,736'-6",-19'-0",,761'-6",,,,,By Type,,Default,,SFD_Round,SFD_Round: 30x30x25',25'-0",,0",,0cCgBhmWv0ju$4JjSRhrow,,,2'-6",Top of Footing,,,,,New Construction,None,,Interior (framing, columns) <0' - 1 1/2">,Interior (framing, columns) <0' - 1 1/2">,,Concrete, Cast-in-Place gray,,,30x30x25',F33,,2A44xp5_PCrwCnockcFWYl,,DP30"-10',,122.72 CF,2'-6"
5 SF,A1010100,Footings & Pile Caps,,,,,,1,,-44'-0",,736'-6",-19'-0",,761'-6",,,,,By Type,,Default,,SFD_Round,SFD_Round: 30x30x25',25'-0",,0",,0cCgBhmWv0ju$4JjSRhror,,,2'-6",Top of Footing,,,,,New Construction,None,,Interior (framing, columns) <0' - 1 1/2">,Interior (framing, columns) <0' - 1 1/2">,,Concrete, Cast-in-Place gray,,,30x30x25',F33,,2A44xp5_PCrwCnockcFWYl,,DP30"-10',,122.72 CF,2'-6"
5 SF,A1010100,Footings & Pile Caps,,,,,,1,,-44'-0",,736'-6",-19'-0",,761'-6",,,,,By Type,,Default,,SFD_Round,SFD_Round: 30x30x25',25'-0",,0",,0cCgBhmWv0ju$4JjSRhrot,,,2'-6",Top of Footing,,,,,New Construction,None,,Interior (framing, columns) <0' - 1 1/2">,Interior (framing, columns) <0' - 1 1/2">,,Concrete, Cast-in-Place gray,,,30x30x25',F33,,2A44xp5_PCrwCnockcFWYl,,DP30"-10',,122.72 CF,2'-6"
5 SF,A1010100,Footings & Pile Caps,,,,,,1,,-44'-0",,736'-6",-19'-0",,761'-6",,,,,By Type,,Default,,SFD_Round,SFD_Round: 30x30x25',25'-0",,0",,0cCgBhmWv0ju$4JjSRhros,,,2'-6",Top of Footing,,,,,New Construction,None,,Interior (framing, columns) <0' - 1 1/2">,Interior (framing, columns) <0' - 1 1/2">,,Concrete, Cast-in-Place gray,,,30x30x25',F33,,2A44xp5_PCrwCnockcFWYl,,DP30"-10',,122.72 CF,2'-6"
5 SF,A1010100,Footings & Pile Caps,,,,,,1,,-44'-0",,736'-6",-19'-0",,761'-6",,,,,By Type,,Default,,SFD_Round,SFD_Round: 30x30x25',25'-0",,0",,0cCgBhmWv0ju$4JjSRhron,,,2'-6",Top of Footing,,,,,New Construction,None,,Interior (framing, columns) <0' - 1 1/2">,Interior (framing, columns) <0' - 1 1/2">,,Concrete, Cast-in-Place gray,,,30x30x25',F33,,2A44xp5_PCrwCnockcFWYl,,DP30"-10',,122.72 CF,2'-6"
5 SF,A1010100,Footings & Pile Caps,,,,,,1,,-44'-0",,736'-6",-19'-0",,761'-6",,,,,By Type,,Default,,SFD_Round,SFD_Round: 30x30x25',25'-0",,0",,0cCgBhmWv0ju$4JjSRhrmp,,,2'-6",Top of Footing,,,,,New Construction,None,,Interior (framing, columns) <0' - 1 1/2">,Interior (framing, columns) <0' - 1 1/2">,,Concrete, Cast-in-Place gray,,,30x30x25',F33,,2A44xp5_PCrwCnockcFWYl,,DP30"-10',,122.72 CF,2'-6"
5 SF,A1010100,Footings & Pile Caps,,,,,,1,,-44'-0",,736'-6",-19'-0",,761'-6",,,,,By Type,,Default,,SFD_Round,SFD_Round: 30x30x25',25'-0",,0",,0cCgBhmWv0ju$4JjSRhrmh,,,2'-6",Top of Footing,,,,,New Construction,None,,Interior (framing, columns) <0' - 1 1/2">,Interior (framing, columns) <0' - 1 1/2">,,Concrete, Cast-in-Place gray,,,30x30x25',F33,,2A44xp5_PCrwCnockcFWYl,,DP30"-10',,122.72 CF,2'-6"
230 SF,A1010110,Strip Footings,,,,,,1,SF,-19'-0",,761'-6",-17'-6",,763'-0",,,,,By Type,,Default,,Wall Foundation,Wall Foundation: Bearing Footing - 36"x18",1'-6",,,,0B2YGPanTBc9mM6oEg4jTv,,,81'-7 1/2",,,,,,New Construction,None,,Cast against earth <0' - 3">,Exterior - #3 to #5 <0' - 1 1/2">,Exterior - #3 to #5 <0' - 1 1/2">,Concrete, Cast-in-Place gray,Bearing,,Bearing Footing - 36"x18",,,1yaKdbclT3rAGcMvSHN7UL,,,,344.81 CF,3'-0"
142 SF,A1010110,Strip Footings,,,,,,1,SF,-19'-0",,761'-6",-17'-6",,763'-0",,,,,By Type,,Default,,Wall Foundation,Wall Foundation: Bearing Footing - 36"x18",1'-6",,,,0CKTlg9k54kxOjOSxML2FE,,,50'-4 1/2",,,,,,New Construction,None,,Cast against earth <0' - 3">,Exterior - #3 to #5 <0' - 1 1/2">,Exterior - #3 to #5 <0' - 1 1/2">,Concrete, Cast-in-Place gray,Bearing,,Bearing Footing - 36"x18",,,1yaKdbclT3rAGcMvSHN7UL,,,,213.19 CF,3'-0"
202 SF,,,,,,,,1,,-25'-11",-25'-11",754'-7",-22'-11",-22'-11",757'-7",,,,,By Type,,Default,,Foundation Slab,Foundation Slab: FNDN-36,3'-0",,0",,2RjzvSKvLEZOEkn56WpauU,,,13'-9",Elevator Pit,,,,56'-10",New Construction,None,,Cast against earth <0' - 3">,Exterior - #3 to #5 <0' - 1 1/2">,Interior (slabs, walls, joists) - #3 to #11 <0' - 0 3/4">,Concrete, Cast-in-Place gray,,,FNDN-36,,,0B2YGPanTBc9mM6oEg4iez,,,,605.00 CF,14'-8"
