Window Schedule 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Construction Type,Cost,Count,Description,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Family Thumbnail,Finish,Glazing Thickness,Glazing Type,Head,Head Height,Heat Transfer Coefficient (U),Height,IFC Predefined Type,IfcGUID,Image,Jamb,Keynote,Level,Manufacturer,Mark,Material,Model,Operation,Phase Created,Phase Demolished,Rough Height,Rough Width,Sill,Sill Height,Solar Heat Gain Coefficient,Thermal Resistance (R),Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Visual Light Transmittance,Width
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,7' - 8 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo73,,,,L3,,109,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,2' - 8 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,7' - 8 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo7Q,,,,L3,,110,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,2' - 8 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,7' - 8 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo7c,,,,L3,,114,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,2' - 8 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,7' - 8 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo7m,,,,L3,,116,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,2' - 8 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,7' - 8 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo6B,,,,L3,,117,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,2' - 8 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,7' - 8 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo62,,,,L3,,118,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,2' - 8 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 5 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo5H,,,,L2,,119,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 5 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 5 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo5e,,,,L2,,120,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 5 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 5 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo5w,,,,L2,,122,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 5 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 5 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo4F,,,,L2,,125,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 5 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 5 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo46,,,,L2,,126,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 5 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 5 1/2",,5' - 0",,2gDGg7MA90nQHvffsvVo4P,,,,L2,,127,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 5 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,2DrlDkmyDFLerHNnIG0ppd,,,,L5,,130,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,2DrlDkmyDFLerHNnIG0ppU,,,,L5,,131,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,2DrlDkmyDFLerHNnIG0poN,,,,L5,,135,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed-Transom,Window-Fixed-Transom: 50" x 80",,ANOD,1",IGU,,10' - 2",,6' - 8",,2DrlDkmyDFLerHNnIG0pr6,,,,M1,,138,ALUM,,,New Construction,None,6' - 8 1/2",4' - 2 1/2",,3' - 6",,,50" x 80",,,2F3zBK1BH8DBfhr$IH1OBy,,61,,,4' - 2"
