Duct Fitting Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Cost,Count,Critical Path,Description,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Free Size,IFC Predefined Type,IfcGUID,Image,Insulation Thickness,Insulation Type,Keynote,Level,Lining Thickness,Lining Type,Manufacturer,Mark,Model,Overall Size,Phase Created,Phase Demolished,Size,System Abbreviation,System Classification,System Name,System Type,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Volume
,,,,23.75.70.14,,,,1,Yes,,10' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,3M6pLGbD93gxT0QT3GSTHB,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 19,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,No,,10' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,3M6pLGbD93gxT0QT3GSTM5,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 6,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,11' - 3",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,3M6pLGbD93gxT0QT3GSTMQ,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 6,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 1",,,,By Type,,Default,,Round Tee,Round Tee: Standard,8"ø-8"ø-8"ø,,3M6pLGbD93gxT0QT3GSTKe,,0",,,L3,0",,,,,8"ø-8"ø-8"ø,New Construction,None,8"ø-8"ø-8"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aX$W,,,,0.42 CF
,,,,23.75.70.14,,,,1,No,,11' - 1",,,,By Type,,Default,,Round Endcap,Round Endcap: Standard,8"ø,,3M6pLGbD93gxT0QT3GSTK$,,0",,,L3,0",,,,,8"ø,New Construction,None,8"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aY3E,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,11' - 1",,,,By Type,,Default,,Round Endcap,Round Endcap: Standard,8"ø,,3M6pLGbD93gxT0QT3GSTK4,,0",,,L3,0",,,,,8"ø,New Construction,None,8"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aY3E,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 1 19/32",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3M6pLGbD93gxT0QT3GSSgg,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Return Air,Mechanical Return Air 11,Return Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.55 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 1 19/32",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3M6pLGbD93gxT0QT3GSSga,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Return Air,Mechanical Return Air 11,Return Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3M6pLGbD93gxT0QT3GSSgW,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Return Air,Mechanical Return Air 11,Return Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,12' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,3M6pLGbD93gxT0QT3GSS$2,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 19,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,12' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,3M6pLGbD93gxT0QT3GSSpe,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 19,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,3M6pLGbD93gxT0QT3GSSpg,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 19,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 1 19/32",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3M6pLGbD93gxT0QT3GSSoW,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Return Air,Mechanical Return Air 11,Return Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 1 19/32",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3M6pLGbD93gxT0QT3GSSoY,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Return Air,Mechanical Return Air 11,Return Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,No,,11' - 1 19/32",,,,By Type,,Default,,Round Endcap,Round Endcap: Standard,8"ø,,3M6pLGbD93gxT0QT3GSSos,,0",,,L3,0",,,,,8"ø,New Construction,None,8"ø,,Return Air,Mechanical Return Air 11,Return Air,Standard,,,1qeKH8MwjCTgLkTOQ9aY3E,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3M6pLGbD93gxT0QT3GSSFg,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 1",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3M6pLGbD93gxT0QT3GSSFq,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,No,,10' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,3M6pLGbD93gxT0QT3GSS2_,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 6,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.04 CF
,,,,23.75.70.14,,,,1,No,,11' - 3",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,3M6pLGbD93gxT0QT3GSS2w,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 6,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.02 CF
,,,,23.75.70.14,,,,1,No,,11' - 3",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,3M6pLGbD93gxT0QT3GSS2H,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 6,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,10' - 4 1/2",,,,By Type,,Default,,Round Endcap,Round Endcap: Standard,8"ø,,3M6pLGbD93gxT0QT3GSS0q,,0",,,L3,0",,,,,8"ø,New Construction,None,8"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aY3E,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 1",,,,By Type,,Default,,Round Tee,Round Tee: Standard,8"ø-8"ø-8"ø,,3M6pLGbD93gxT0QT3GSSPC,,0",,,L3,0",,,,,8"ø-8"ø-8"ø,New Construction,None,8"ø-8"ø-8"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aX$W,,,,0.42 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 4 1/2",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2V2qdYnOr3TuSCIM7zPX_T,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.18 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 4",,,,By Type,,Default,,Round Tee,Round Tee: Standard,8"ø-8"ø-6"ø,,2V2qdYnOr3TuSCIM7zPXpj,,0",,,L3,0",,,,,8"ø-8"ø-6"ø,New Construction,None,8"ø-8"ø-6"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aX$W,,,,0.33 CF
,,,,23.75.70.14,,,,1,No,,8' - 10 1/2",,,,By Type,,Default,,Round Elbow,Round Elbow: 1 D,6"ø-6"ø,,2V2qdYnOr3TuSCIM7zPXrU,,0",,,L3,0",,,,,6"ø-6"ø,New Construction,None,6"ø-6"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,1 D,,,1qeKH8MwjCTgLkTOQ9aYp$,,,,0.15 CF
0 SF,,,,23.75.70.14,,,,1,No,,8' - 1 5/16",,,,By Type,,Default,,Rectangular to Round Transition - Angle,Rectangular to Round Transition - Angle: 45 Degree,6"x6"-6"ø,,2V2qdYnOr3TuSCIM7zPXtH,,0",,,L3,0",,,,,6"x6"-6"ø,New Construction,None,6"x6"-6"ø,,Supply Air,Mechanical Supply Air 18,Supply Air,45 Degree,,,1qeKH8MwjCTgLkTOQ9aZBE,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 6",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3BWDMpxbr5GOP3dAY5J9nZ,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Return Air,Mechanical Return Air 12,Return Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.32 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3BWDMpxbr5GOP3dAY5J9xI,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Return Air,Mechanical Return Air 12,Return Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.55 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 6",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3BWDMpxbr5GOP3dAY5J9wS,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Return Air,Mechanical Return Air 12,Return Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 6",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,3BWDMpxbr5GOP3dAY5J9wU,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Return Air,Mechanical Return Air 12,Return Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.15 CF
,,,,23.75.70.14,,,,1,No,,11' - 6",,,,By Type,,Default,,Round Endcap,Round Endcap: Standard,8"ø,,3BWDMpxbr5GOP3dAY5J9uE,,0",,,L3,0",,,,,8"ø,New Construction,None,8"ø,,Return Air,Mechanical Return Air 12,Return Air,Standard,,,1qeKH8MwjCTgLkTOQ9aY3E,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,10' - 10",,,,By Type,,Default,,Round Endcap,Round Endcap: Standard,8"ø,,3BWDMpxbr5GOP3dAY5J9uI,,0",,,L3,0",,,,,8"ø,New Construction,None,8"ø,,Supply Air,Mechanical Supply Air 20,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aY3E,,,,0.03 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 10",,,,By Type,,Default,,Round Tee,Round Tee: Standard,8"ø-8"ø-6"ø,,0KZn1XrlzCDgke9UTJ4_$E,,0",,,L3,0",,,,,8"ø-8"ø-6"ø,New Construction,None,8"ø-8"ø-6"ø,,Supply Air,Mechanical Supply Air 20,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aX$W,,,,0.33 CF
,,,,23.75.70.14,,,,1,Yes,,8' - 11",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,6"ø-6"ø,,0KZn1XrlzCDgke9UTJ4_mz,,0",,,L3,0",,,,,6"ø-6"ø,New Construction,None,6"ø-6"ø,,Supply Air,Mechanical Supply Air 20,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.23 CF
1 SF,,,,23.75.70.14,,,,1,Yes,,8' - 1 5/16",,,,By Type,,Default,,Rectangular to Round Transition - Angle,Rectangular to Round Transition - Angle: 45 Degree,8 3/4"x8 3/4"-6"ø,,0KZn1XrlzCDgke9UTJ4_pe,,0",,,L3,0",,,,,8 3/4"x8 3/4"-6"ø,New Construction,None,9"x9"-6"ø,,Supply Air,Mechanical Supply Air 20,Supply Air,45 Degree,,,1qeKH8MwjCTgLkTOQ9aZBE,,,,0.10 CF
,,,,23.75.70.14,,,,1,No,,9' - 11 7/8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,6"ø-6"ø,,0KZn1XrlzCDgke9UTJ4_tD,,0",,,L3,0",,,,,6"ø-6"ø,New Construction,None,6"ø-6"ø,,Supply Air,Mechanical Supply Air 20,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.23 CF
,,,,23.75.70.14,,,,1,No,,9' - 11 7/8",,,,By Type,,Default,,Round Endcap,Round Endcap: Standard,6"ø,,0KZn1XrlzCDgke9UTJ4_An,,0",,,L3,0",,,,,6"ø,New Construction,None,6"ø,,Supply Air,Mechanical Supply Air 20,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aY3E,,,,0.02 CF
,,,,23.75.70.14,,,,1,No,,10' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjCuN,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 7,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,No,,12' - 6",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjCsK,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 7,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,9' - 11 1/16",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjCsP,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 7,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,10' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjCtH,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 7,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,No,,9' - 11 1/16",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjCt5,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 7,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,12' - 6",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjCZ1,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 7,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,10' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjCZC,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 7,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjCWk,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 21,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjDUb,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 21,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjDQq,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 21,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,12' - 6",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjDQ_,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 21,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,12' - 6",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,1twX0D6PT5qAIpAZjhjDQw,,0",,,L3,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Supply Air,Mechanical Supply Air 21,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QHP,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 23,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,12' - 0",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QH9,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 23,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QHD,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 23,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QTW,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QTc,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,12' - 0",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QSz,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QPe,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QOS,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,11' - 10",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QOU,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,12' - 0",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0Qag,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QYf,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QlL,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QlN,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 24,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0Qjh,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 23,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QjX,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 23,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,12' - 0",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0QiX,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 23,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,12' - 0",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,8"ø-8"ø,,2fAavAP_T3PBMu6yDI0Qib,,0",,,L3,0",,,,,8"ø-8"ø,New Construction,None,8"ø-8"ø,,Supply Air,Mechanical Supply Air 23,Supply Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.27 CF
,,,,23.75.70.14,,,,1,Yes,,10' - 8",,,,By Type,,Default,,Round Tee,Round Tee: Standard,8"ø-8"ø-8"ø,,2fAavAP_T3PBMu6yDI0Qh2,,0",,,L3,0",,,,,8"ø-8"ø-8"ø,New Construction,None,8"ø-8"ø-8"ø,,Supply Air,Mechanical Supply Air 23,Supply Air,Standard,,,1qeKH8MwjCTgLkTOQ9aX$W,,,,0.42 CF
