Mechanical Equipment Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Calculated Flow,Calculated Pressure Drop,Circuit Number,Classification,Classification Number,Classification Title,Comments,Cost,Count,Critical Path,Description,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Mechanical Equipment Set,Model,Panel,Phase Created,Phase Demolished,System Classification,System Name,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),9' - 9 27/32",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,1C302qy0jEhBBvbtn1VCoI,,,L3,,HRU307,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 11,Mechanical Supply Air 18,Mechanical Exhaust Air 6,Mechanical Supply Air 19,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),11' - 5 27/32",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,1C302qy0jEhBBvbtn1VCoe,,,L3,,HRU304,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 10,Mechanical Supply Air 17,Mechanical Exhaust Air 5,Mechanical Supply Air 16,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),18' - 8",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,1UXyO$h5zFYPD6dfB6a31k,,,L1 - Block 37,,HRU108B,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 8,Mechanical Supply Air 13,Mechanical Exhaust Air 4,Mechanical Supply Air 15,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),18' - 8",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,1UXyO$h5zFYPD6dfB6a36m,,,L1 - Block 37,,HRU108A,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 9,Mechanical Supply Air 12,Mechanical Exhaust Air 3,Mechanical Supply Air 14,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),11' - 3 27/32",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,2fAavAP_T3PBMu6yDI0Q1T,,,L3,,HRU301A,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 16,Mechanical Supply Air 24,Mechanical Exhaust Air 8,Mechanical Supply Air 25,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),11' - 5 27/32",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,2fAavAP_T3PBMu6yDI0Q1L,,,L3,,HRU301B,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 15,Mechanical Supply Air 23,Mechanical Exhaust Air 9,Mechanical Supply Air 26,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),10' - 2 27/32",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,3svIJck4X2k9dc_X1OGRiP,,,M1,,HRU200A,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 13,Mechanical Supply Air 27,Mechanical Exhaust Air 10,Mechanical Supply Air 28,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),10' - 1 27/32",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,3svIJck4X2k9dc_X1OGOxZ,,,M1,,HRU200B,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 14,Mechanical Supply Air 29,Mechanical Exhaust Air 11,Mechanical Supply Air 30,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),10' - 1 27/32",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,2KW52DYoTDoP_bipRsNCCc,,,L3,,HRU306,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 18,Mechanical Supply Air 34,Mechanical Exhaust Air 13,Mechanical Supply Air 35,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
,,,,,,None,23.75.00.00,,,,1,Yes,Heat Recovery Unit (HRV),10' - 1 27/32",,,,By Type,,Default,,HeatRecoveryUnit,HeatRecoveryUnit: Heat Recovery Unit (HRU),,0MFVjIwFzCuumSmrk4Xo_c,,,L4,,HRU409,,,,New Construction,None,Return Air,Supply Air,Exhaust Air,Supply Air,Power,Mechanical Return Air 20,Mechanical Supply Air 38,Mechanical Exhaust Air 15,Mechanical Supply Air 39,Heat Recovery Unit (HRU),,,3kTQlJ2m13T8zbkDKl7sFQ,,,
