Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorptance,Angle From Vertical,Area,Assembly Code,Assembly Description,Assembly Name,Base Constraint,Base Offset,Bottom Width,Comments,Cost,Count,Cross-Section,Default Exterior Angle,Default Interior Angle,Description,Enable Angle Overrides,Estimated Reinforcement Volume,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Exterior Angle,Family,Family and Type,Family Thumbnail,Fire Rating,Function,Heat Transfer Coefficient (U),IFC Predefined Type,IfcGUID,Image,Interior Angle,Keynote,Length,Manufacturer,Mark,Model,Phase Created,Phase Demolished,Rebar Cover,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Rebar Cover - Other Faces,Roughness,Structural Material,Structural Usage,Thermal Mass,Thermal Resistance (R),Top Constraint,Top Offset,Top Width,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,Unconnected Height,URL,Volume,Width,Width Measured At
0.7,,40 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,3ILb7oItT50eCRbCAAdIMT,,,,3' - 10 9/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L4,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,12' - 10",,16.10 CF,0' - 4 7/8",
0.7,,124 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,3ILb7oItT50eCRbCAAdINK,,,,9' - 7 1/2",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Up to level: L5,-0' - 6",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,12' - 10",,75.19 CF,0' - 7 1/4",
0.7,,40 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,3ILb7oItT50eCRbCAAdINR,,,,3' - 10 9/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L5,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,12' - 10",,16.10 CF,0' - 4 7/8",
0.7,,76 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,3ILb7oItT50eCRbCAAdINi,,,,9' - 4 1/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Up to level: Block 39 - Parapet,-0' - 6",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 8",,45.65 CF,0' - 7 1/4",
0.7,,50 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Party - 6 1/8" (2-hr),,2 HR,Interior,0.0234 BTU/(h·ft²·°F),,3ILb7oItT50eCRbCAAdLeJ,,,,3' - 8 7/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,5.1774 BTU/(ft²·°F),42.8246 (h·ft²·°F)/BTU,Up to level: R2,0' - 0",,Party - 6 1/8" (2-hr),,,1UzjuOoQr4P85_KNmJAtS$,,W01,13' - 4",,48.82 CF,0' - 11 3/4",
0.7,,54 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mQz,,,,10' - 1 15/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,32.65 CF,0' - 7 1/4",
0.7,,4 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,7' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mQt,,,,5' - 0 5/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,1' - 0",,1.82 CF,0' - 4 7/8",
0.7,,104 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mQn,,,,13' - 3 9/32",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,62.57 CF,0' - 7 1/4",
0.7,,19 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mQm,,,,2' - 7 5/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,7.58 CF,0' - 4 7/8",
0.7,,29 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mQg,,,,3' - 9",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,11.68 CF,0' - 4 7/8",
0.7,,25 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mQb,,,,3' - 8 3/32",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,10.22 CF,0' - 4 7/8",
0.7,,16 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mQc,,,,2' - 1 3/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,9.67 CF,0' - 7 1/4",
0.7,,33 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mnx,,,,4' - 4 7/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,19.89 CF,0' - 7 1/4",
0.7,,4 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,7' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mnj,,,,4' - 4 7/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,1' - 0",,1.55 CF,0' - 4 7/8",
0.7,,95 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mnk,,,,12' - 2 7/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,57.60 CF,0' - 7 1/4",
0.7,,19 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mnf,,,,2' - 8 3/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,7.79 CF,0' - 4 7/8",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mnZ,,,,3' - 5 7/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,9.75 CF,0' - 4 7/8",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mnY,,,,3' - 5 7/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,9.75 CF,0' - 4 7/8",
0.7,,54 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mqk,,,,10' - 1 15/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,32.65 CF,0' - 7 1/4",
0.7,,4 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,7' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mqW,,,,5' - 0 5/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,1' - 0",,1.82 CF,0' - 4 7/8",
0.7,,103 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mqZ,,,,13' - 2 1/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,62.11 CF,0' - 7 1/4",
0.7,,19 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mqY,,,,2' - 7 5/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,7.58 CF,0' - 4 7/8",
0.7,,30 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mqK,,,,3' - 9",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,12.19 CF,0' - 4 7/8",
0.7,,25 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mqN,,,,3' - 6 15/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,9.91 CF,0' - 4 7/8",
0.7,,16 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mqG,,,,2' - 1 3/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,9.67 CF,0' - 7 1/4",
0.7,,33 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mqB,,,,4' - 4 7/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,19.89 CF,0' - 7 1/4",
0.7,,4 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,7' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mrz,,,,4' - 4 7/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,1' - 0",,1.55 CF,0' - 4 7/8",
0.7,,95 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mr_,,,,12' - 2 7/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,57.60 CF,0' - 7 1/4",
0.7,,19 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mrv,,,,2' - 8 3/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,7.79 CF,0' - 4 7/8",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mrp,,,,3' - 5 7/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,9.75 CF,0' - 4 7/8",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mro,,,,3' - 5 7/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,9.75 CF,0' - 4 7/8",
0.7,,34 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4ms4,,,,4' - 5 1/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,20.39 CF,0' - 7 1/4",
0.7,,4 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L5,7' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mt_,,,,4' - 5 1/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,1' - 0",,1.76 CF,0' - 4 7/8",
0.7,,95 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mtx,,,,12' - 2 7/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,57.60 CF,0' - 7 1/4",
0.7,,19 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mtw,,,,2' - 8 3/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,7.79 CF,0' - 4 7/8",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mti,,,,3' - 5 7/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,9.75 CF,0' - 4 7/8",
0.7,,28 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0U4XQxUbT6Kgsr80BN4mtl,,,,3' - 5 7/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,8' - 0",,11.25 CF,0' - 4 7/8",
,,383 SF,B2020200,Curtain Walls,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Curtain Wall,Curtain Wall: Glazing Wall - Stair,,,Exterior,,,0q9es9kCD4oOj_kMIudRU8,,,,6' - 4 1/2",,,,New Construction,None,,,,,,,Non-bearing,,,Up to level: R2,1' - 3",,Glazing Wall - Stair,,,352q71U$z9ZA8jPYzlCpCf,,,60' - 1",,,,
0.7,,37 SF,B2010158,Ext. Wall - Brick Veneer w/ Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,2 HR,Exterior,0.0217 BTU/(h·ft²·°F),,0pVukYwInEK9lFZWWLB0OG,,,,20' - 5 3/8",,,,New Construction,None,,,,,3,,Non-bearing,14.9105 BTU/(ft²·°F),46.0097 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,,3GC6dLJPT0_w0HkhCmqXpI,,X04,1' - 11",,38.31 CF,1' - 0 5/8",
0.7,,48 SF,B2010100,Exterior Wall Construction,,L2,-0' - 9",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 9 7/8" EIFS on Mtl. Stud,,,Exterior,0.0191 BTU/(h·ft²·°F),,3egT28ZeX4oR$CJC1uG0Wj,,,,24' - 0",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4552 BTU/(ft²·°F),52.3950 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Exterior - 9 7/8" EIFS on Mtl. Stud,,,1oiHnm6YP1r9AXc47IRd6I,,X02,2' - 0",,39.50 CF,0' - 9 7/8",
,,108 SF,B2020200,Curtain Walls,,L5,3' - 8",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Curtain Wall,Curtain Wall: Glazing Wall - Stair,,,Exterior,,,2ch6GiTYr6ofWwBJULtROn,,,,6' - 4 1/2",,,,New Construction,None,,,,,,,Non-bearing,,,Up to level: R3,-2' - 9",,Glazing Wall - Stair,,,352q71U$z9ZA8jPYzlCpCf,,,16' - 11",,,,
0.7,,117 SF,A1010200,Foundation Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Foundation - 24" Concrete,,4 HR,Foundation,0.3022 BTU/(h·ft²·°F),,343IftMCP4UOCLPJnm95Bz,,,,9' - 7 1/2",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,45.0630 BTU/(ft²·°F),3.3092 (h·ft²·°F)/BTU,Up to level: L1 - Block 37,0' - 0",,Foundation - 24" Concrete,,,2Rqwfi9uL0W9XTWzRAs_6e,,C04,13' - 11 1/2",,233.80 CF,2' - 0",
