Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorptance,Angle From Vertical,Area,Assembly Code,Assembly Description,Assembly Name,Base Constraint,Base Offset,Bottom Width,Comments,Cost,Count,Cross-Section,Default Exterior Angle,Default Interior Angle,Description,Enable Angle Overrides,Estimated Reinforcement Volume,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Exterior Angle,Family,Family and Type,Family Thumbnail,Fire Rating,Function,Heat Transfer Coefficient (U),IFC Predefined Type,IfcGUID,Image,Interior Angle,Keynote,Length,Manufacturer,Mark,Model,Phase Created,Phase Demolished,Rebar Cover,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Rebar Cover - Other Faces,Roughness,Structural Material,Structural Usage,Thermal Mass,Thermal Resistance (R),Top Constraint,Top Offset,Top Width,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,Unconnected Height,URL,Volume,Width,Width Measured At
0.7,,458 SF,A1010200,Foundation Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Foundation - 24" Concrete,,4 HR,Foundation,0.3022 BTU/(h·ft²·°F),,1G_I00WlX2MBQekqB04dQm,,,,29' - 10 21/32",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,45.0630 BTU/(ft²·°F),3.3092 (h·ft²·°F)/BTU,Up to level: L1 - Block 43,-1' - 8",,Foundation - 24" Concrete,,,2Rqwfi9uL0W9XTWzRAs_6e,,C04,15' - 9",,913.59 CF,2' - 0",
0.7,,1965 SF,B2010,Exterior Walls,,Parking,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 4 1/4",,,Soffit,6.6534 BTU/(h·ft²·°F),,1nMwdyzlT4AuQ_X$HWZCgF,,,,24' - 0 1/2",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,17.6896 BTU/(ft²·°F),0.1503 (h·ft²·°F)/BTU,Up to level: R3,0' - 0",,Chase - GWB & Metal Stud 4 1/4",,,3FDTNrVMX5CROAaE1LHtAP,,S03,85' - 9",,695.87 CF,0' - 4 1/4",
0.7,,246 SF,B2010,Exterior Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 12",,4 HR,Core-shaft,0.6044 BTU/(h·ft²·°F),,1nMwdyzlT4AuQ_X$HWZCjW,,,,23' - 9 1/2",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,22.5315 BTU/(ft²·°F),1.6546 (h·ft²·°F)/BTU,Up to level: L1 - Block 35,0' - 0",,Core - Concrete 12",,,2Rqwfi9uL0W9XTWzRAs_ER,,C02,11' - 6",,246.28 CF,1' - 0",
0.7,,121 SF,B2010,Exterior Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 18",,4 HR,Core-shaft,0.4029 BTU/(h·ft²·°F),,1nMwdyzlT4AuQ_X$HWZCkg,,,,10' - 4 1/2",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,33.7973 BTU/(ft²·°F),2.4819 (h·ft²·°F)/BTU,Up to level: L1 - Block 35,0' - 0",,Core - Concrete 18",,,2Rqwfi9uL0W9XTWzRAs_GX,,C03,11' - 6",,176.37 CF,1' - 6",
0.7,,526 SF,B2010,Exterior Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 12",,4 HR,Core-shaft,0.6044 BTU/(h·ft²·°F),,07qCfCfOH2$9ZHLwxaU8Ro,,,,31' - 7 25/32",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,22.5315 BTU/(ft²·°F),1.6546 (h·ft²·°F)/BTU,Up to level: L1 - Block 43,0' - 0",,Core - Concrete 12",,,2Rqwfi9uL0W9XTWzRAs_ER,,C02,17' - 5",,524.93 CF,1' - 0",
0.7,,498 SF,B2010,Exterior Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 18",,4 HR,Core-shaft,0.4029 BTU/(h·ft²·°F),,07qCfCfOH2$9ZHLwxaU8Rz,,,,32' - 10 19/32",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,33.7973 BTU/(ft²·°F),2.4819 (h·ft²·°F)/BTU,Up to level: L1 - Block 43,0' - 0",,Core - Concrete 18",,,2Rqwfi9uL0W9XTWzRAs_GX,,C03,17' - 5",,746.38 CF,1' - 6",
0.7,,1646 SF,B2010,Exterior Walls,,L1 - Block 35,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 12",,4 HR,Core-shaft,0.6044 BTU/(h·ft²·°F),,15yYit$qr3jes0JF4Uq11J,,,,23' - 0 3/16",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,22.5315 BTU/(ft²·°F),1.6546 (h·ft²·°F)/BTU,Up to level: Parapet 2,0' - 0",,Core - Concrete 12",,,2Rqwfi9uL0W9XTWzRAs_ER,,C02,76' - 9",,1645.81 CF,1' - 0",
0.7,,835 SF,B2010,Exterior Walls,,L1 - Block 35,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 12",,4 HR,Core-shaft,0.6044 BTU/(h·ft²·°F),,15yYit$qr3jes0JF4Uq15Z,,,,10' - 10 1/2",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,22.5315 BTU/(ft²·°F),1.6546 (h·ft²·°F)/BTU,Up to level: Parapet 2,0' - 0",,Core - Concrete 12",,,2Rqwfi9uL0W9XTWzRAs_ER,,C02,76' - 9",,834.66 CF,1' - 0",
0.7,,311 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Party - 6 1/8" (2-hr),,2 HR,Interior,0.0234 BTU/(h·ft²·°F),,15yYit$qr3jes0JF4Uq1Sf,,,,39' - 4 3/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,5.1774 BTU/(ft²·°F),42.8246 (h·ft²·°F)/BTU,Up to level: L2,0' - 0",,Party - 6 1/8" (2-hr),,,1UzjuOoQr4P85_KNmJAtS$,,W01,8' - 1",,304.21 CF,0' - 11 3/4",
0.7,,35 SF,B2010158,Ext. Wall - Brick Veneer w/ Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,2 HR,Exterior,0.0217 BTU/(h·ft²·°F),,2mejqQiN994Q2UMYaLHePR,,,,5' - 11 1/16",,,,New Construction,None,,,,,3,,Non-bearing,14.9105 BTU/(ft²·°F),46.0097 (h·ft²·°F)/BTU,Up to level: L2,-2' - 6",,Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,,3GC6dLJPT0_w0HkhCmqXpI,,X04,9' - 0 1/2",,37.12 CF,1' - 0 5/8",
